,team1,team2,team_lost_score,team_won_score,date_match,event_name,maps_info,map1_played,team_winner_map1,result_map1_played1,result_half_score_map1,team_loser_map1,result_map1_played2,map2_played,team_winner_map2,result_map2_played1,result_half_score_map2,team_loser_map2,result_map2_played2,map3_played,team_winner_map3,result_map3_played1,result_half_score_map3,team_loser_map3,result_map3_played2,player1_team1,kd_player1_team1,adr_player1_team1,kast_player1_team1,rating_player1_team1,player2_team1,kd_player2_team1,adr_player2_team1,kast_player2_team1,rating_player2_team1,player3_team1,kd_player3_team1,adr_player3_team1,kast_player3_team1,rating_player3_team1,player4_team1,kd_player4_team1,adr_player4_team1,kast_player4_team1,rating_player4_team1,player5_team1,kd_player5_team1,adr_player5_team1,kast_player5_team1,rating_player5_team1,player1_team2,kd_player1_team2,adr_player1_team2,kast_player1_team2,rating_player1_team2,player2_team2,kd_player2_team2,adr_player2_team2,kast_player2_team2,rating_player2_team2,player3_team2,kd_player3_team2,adr_player3_team2,kast_player3_team2,rating_player3_team2,player4_team2,kd_player4_team2,adr_player4_team2,kast_player4_team2,rating_player4_team2,player5_team2,kd_player5_team2,adr_player5_team2,kast_player5_team2,rating_player5_team2
73,Natus Vincere,G2,14,16,16th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 1",Overpass,G2,14,(12:3; 2:13),Natus Vincere,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Aleksandr 's1mple' Kostyliev,30-20,100.5,63.3%,1.46,Ioann 'Edward' Sukhariev,25-19,81.6,63.3%,1.23,Egor 'flamie' Vasilyev,19-18,82.7,80.0%,1.08,Ladislav 'GuardiaN' Kovács,15-16,54.4,63.3%,0.95,Denis 'seized' Kostin,6-19,34.4,50.0%,0.47,Nathan 'NBK-' Schmitt,24-21,83.8,73.3%,1.20,Richard 'shox' Papillon,20-18,84.9,80.0%,1.17,Kenny 'kennyS' Schrub,20-18,63.1,66.7%,1.08,Dan 'apEX' Madesclaire,16-20,69.7,60.0%,0.91,Alexandre 'bodyy' Pianaro,12-18,46.1,56.7%,0.76
74,North,Cloud9,12,16,16th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 1",Mirage,Cloud9,12,(7:8; 5:8),North,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Kristian 'k0nfig' Wienecke,29-20,107.5,82.1%,1.51,René 'cajunb' Borg,16-19,65.3,71.4%,0.97,Emil 'Magisk' Reif,18-18,64.2,57.1%,0.95,Philip 'aizy' Aistrup,13-18,56.3,67.9%,0.85,Mathias 'MSL' Lauridsen,10-19,46.0,50.0%,0.57,Jordan 'n0thing' Gilbert,26-16,103.4,64.3%,1.46,Tyler 'Skadoodle' Latham,22-15,73.4,78.6%,1.26,Jake 'Stewie2K' Yip,18-22,84.4,67.9%,1.08,Mike 'shroud' Grzesiek,12-15,47.6,64.3%,0.78,Timothy 'autimatic' Ta,15-18,55.4,57.1%,0.76
75,FaZe,BIG,8,16,16th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 1",Inferno,BIG,8,(7:8; 1:8),FaZe,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Håvard 'rain' Nygaard,16-19,87.3,54.2%,1.09,Nikola 'NiKo' Kovač,15-15,70.0,66.7%,1.03,Aleksi 'allu' Jalli,17-17,69.1,54.2%,0.88,Fabien 'kioShiMa' Fiey,8-17,49.0,54.2%,0.53,Finn 'karrigan' Andersen,8-19,39.8,54.2%,0.49,Johannes 'nex' Maget,23-11,98.7,79.2%,1.60,Johannes 'tabseN' Wodarz,23-13,100.1,75.0%,1.54,Kevin 'keev' Bartholomäus,16-14,70.5,75.0%,1.18,Fatih 'gob b' Dayik,13-12,63.3,75.0%,1.09,Nikola 'LEGIJA' Ninić,12-14,59.3,66.7%,0.84
76,SK,PENTA,13,16,16th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 1",Inferno,SK,16,(10:5; 6:8),PENTA,13,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Marcelo 'coldzera' David,35-15,121.4,79.3%,1.72,Fernando 'fer' Alvarenga,19-19,73.3,72.4%,1.13,Gabriel 'FalleN' Toledo,18-20,82.7,65.5%,1.10,Epitacio 'TACO' de Melo,15-15,50.2,58.6%,0.80,João 'felps' Vasconcellos,8-21,48.4,51.7%,0.60,Kevin 'kRYSTAL' Amend,21-18,75.5,62.1%,1.14,Miikka 'suNny' Kemppi,20-21,89.1,62.1%,1.05,Jesse 'zehN' Linjala,20-22,69.6,65.5%,0.93,Paweł 'innocent' Mocek,15-18,58.0,62.1%,0.87,Kevin 'HS' Tarn,13-17,55.4,62.1%,0.86
77,Virtus.pro,Vega Squadron,2,16,16th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 1",Nuke,Virtus.pro,16,(13:2; 3:0),Vega Squadron,2,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Janusz 'Snax' Pogorzelski,19-6,96.5,88.9%,1.94,Jarosław 'pashaBiceps' Jarząbkowski,18-12,115.3,72.2%,1.56,Paweł 'byali' Bieliński,15-11,91.7,88.9%,1.53,Wiktor 'TaZ' Wojtas,12-7,76.0,94.4%,1.46,Filip 'NEO' Kubski,14-10,66.0,72.2%,1.25,Nikolay 'mir' Bityukov,11-13,57.3,66.7%,0.85,Leonid 'chopper' Vishnyakov,15-16,62.1,61.1%,0.70,Sergey 'keshandr' Nikishin,9-17,73.2,61.1%,0.59,Dmitriy 'jR' Chervak,4-16,43.4,55.6%,0.40,Pavel 'hutji' Lashkov,7-16,58.2,27.8%,0.40
78,fnatic,FlipSid3,12,16,16th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 1",Mirage,fnatic,16,(7:8; 9:4),FlipSid3,12,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Jesper 'JW' Wecksell,25-17,85.5,71.4%,1.31,Olof 'olofmeister' Kajbjer,22-20,98.8,60.7%,1.26,Robin 'flusha' Rönnquist,19-18,79.0,71.4%,1.11,Freddy 'KRIMZ' Johansson,16-21,76.6,60.7%,0.89,Dennis 'dennis' Edman,18-24,68.2,71.4%,0.86,Denis 'electronic' Sharipov,24-18,99.4,71.4%,1.37,Andrey 'B1ad3' Gorodenskiy,23-19,88.5,71.4%,1.20,Jan 'wayLander' Rahkonen,20-21,78.9,75.0%,1.10,Georgi 'WorldEdit' Yaskin,18-22,60.8,67.9%,0.85,Yegor 'markeloff' Markelov,15-20,65.2,67.9%,0.82
79,Gambit,mousesports,10,16,16th of July 2017,PGL Major Krakow 2017,"Best of 1 (LAN)

* Swiss round 1",Inferno,Gambit,16,(7:8; 9:2),mousesports,10,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Dauren 'AdreN' Kystaubayev,23-19,87.5,73.1%,1.31,Abay 'Hobbit' Khasenov,18-16,89.5,76.9%,1.30,Rustem 'mou' Telepov,17-14,84.6,69.2%,1.27,Danylo 'Zeus' Teslenko,20-17,64.5,84.6%,1.14,Mihail 'Dosia' Stolyarov,17-14,71.3,76.9%,1.08,Tomáš 'oskar' Šťastný,20-20,83.8,61.5%,1.05,Robin 'ropz' Kool,17-19,74.6,69.2%,0.94,Chris 'chrisJ' de Jong,17-20,72.7,65.4%,0.92,Denis 'denis' Howell,16-19,62.9,65.4%,0.81,Christian 'loWel' Garcia Antoran,10-18,54.2,57.7%,0.64
80,FaZe,Cloud9,1,2,28th of January 2018,ELEAGUE Major 2018,"Best of 3

* Grand final",Mirage,FaZe,16,(6:9; 10:5),Cloud9,14,Overpass,Cloud9,10,(3:12; 7:4),FaZe,16,Inferno,Cloud9,19,(8:7; 7:8) (4:7),Cloud9,22,Ladislav 'GuardiaN' Kovács,75-66,75.6,64.9%,1.05,Håvard 'rain' Nygaard,63-72,75.8,64.9%,1.02,Olof 'olofmeister' Kajbjer,64-70,74.4,68.0%,0.98,Nikola 'NiKo' Kovač,56-71,68.0,64.9%,0.88,Finn 'karrigan' Andersen,47-70,58.4,59.8%,0.74,Tyler 'Skadoodle' Latham,79-55,80.9,73.2%,1.29,Tarik 'tarik' Celik,77-64,87.2,72.2%,1.22,Timothy 'autimatic' Ta,75-60,79.7,73.2%,1.19,Jake 'Stewie2K' Yip,65-67,76.6,67.0%,1.05,William 'RUSH' Wierzba,53-59,61.5,73.2%,0.96
81,Cloud9,SK,1,2,28th of January 2018,ELEAGUE Major 2018,"Best of 3

* Semi-final",Mirage,Cloud9,16,(13:2; 3:1),SK,3,Cobblestone,SK,8,(7:8; 1:8),Cloud9,16,Inferno,Cloud9,16,(12:3; 4:6),Cloud9,9,Timothy 'autimatic' Ta,58-40,84.3,75.0%,1.29,Tarik 'tarik' Celik,55-48,94.8,79.4%,1.25,Jake 'Stewie2K' Yip,49-44,74.6,76.5%,1.13,William 'RUSH' Wierzba,44-44,80.5,73.5%,1.06,Tyler 'Skadoodle' Latham,43-41,65.5,70.6%,1.02,Fernando 'fer' Alvarenga,48-49,80.5,66.2%,1.10,Marcelo 'coldzera' David,47-42,65.6,70.6%,0.99,Epitacio 'TACO' de Melo,44-52,69.1,67.6%,0.98,Gabriel 'FalleN' Toledo,39-51,68.2,58.8%,0.83,João 'felps' Vasconcellos,38-55,70.6,63.2%,0.82
82,FaZe,Natus Vincere,0,2,27th of January 2018,ELEAGUE Major 2018,"Best of 3

* Semi-final",Inferno,FaZe,16,(8:7; 8:2),Natus Vincere,9,Mirage,FaZe,16,(10:5; 6:2),Natus Vincere,7,Train,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Nikola 'NiKo' Kovač,43-23,98.9,81.2%,1.51,Håvard 'rain' Nygaard,37-30,101.2,87.5%,1.47,Olof 'olofmeister' Kajbjer,40-30,83.4,85.4%,1.34,Ladislav 'GuardiaN' Kovács,39-27,73.5,85.4%,1.33,Finn 'karrigan' Andersen,32-29,64.0,72.9%,1.05,Aleksandr 's1mple' Kostyliev,40-39,85.8,68.8%,1.07,Egor 'flamie' Vasilyev,29-40,67.9,60.4%,0.82,Ioann 'Edward' Sukhariev,21-37,59.6,70.8%,0.79,Danylo 'Zeus' Teslenko,23-38,63.2,56.2%,0.74,Denis 'electronic' Sharipov,26-37,62.3,58.3%,0.73
83,SK,fnatic,1,2,27th of January 2018,ELEAGUE Major 2018,"Best of 3

* Quarter-final",Inferno,fnatic,19,(6:9; 9:6) (4:7),SK,22,Overpass,SK,16,(9:6; 7:8),fnatic,14,Mirage,SK,16,(7:8; 9:4),SK,12,Marcelo 'coldzera' David,73-63,80.8,72.7%,1.11,Gabriel 'FalleN' Toledo,73-67,77.1,64.6%,1.10,Epitacio 'TACO' de Melo,65-67,74.2,67.7%,1.03,Fernando 'fer' Alvarenga,63-70,73.3,72.7%,1.01,João 'felps' Vasconcellos,57-71,74.4,66.7%,0.97,Jonas 'Lekr0' Olofsson,85-69,87.5,67.7%,1.24,Freddy 'KRIMZ' Johansson,72-64,75.1,70.7%,1.07,Robin 'flusha' Rönnquist,61-65,78.2,67.7%,1.04,Jesper 'JW' Wecksell,66-69,75.7,71.7%,1.03,Maikil 'Golden' Selim,54-65,62.3,68.7%,0.94
84,G2,Cloud9,0,2,26th of January 2018,ELEAGUE Major 2018,"Best of 3

* Quarter-final",Mirage,Cloud9,8,(7:8; 1:8),G2,16,Overpass,Cloud9,7,(3:12; 4:4),G2,16,Cobblestone,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Richard 'shox' Papillon,37-38,76.0,68.1%,1.04,Alexandre 'bodyy' Pianaro,27-34,66.3,74.5%,0.94,Kenny 'kennyS' Schrub,26-34,62.3,57.4%,0.81,Dan 'apEX' Madesclaire,26-39,66.3,63.8%,0.76,Nathan 'NBK-' Schmitt,24-36,59.3,57.4%,0.67,William 'RUSH' Wierzba,40-23,93.4,83.0%,1.48,Tarik 'tarik' Celik,38-30,88.3,78.7%,1.29,Jake 'Stewie2K' Yip,38-33,89.2,74.5%,1.28,Tyler 'Skadoodle' Latham,31-24,66.1,74.5%,1.17,Timothy 'autimatic' Ta,34-30,67.4,74.5%,1.11
85,Natus Vincere,Quantum Bellator Fire,0,2,26th of January 2018,ELEAGUE Major 2018,"Best of 3

* Quarter-final",Mirage,Natus Vincere,16,(13:2; 3:2),Quantum Bellator Fire,4,Inferno,Natus Vincere,16,(11:4; 5:3),Quantum Bellator Fire,7,Train,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Egor 'flamie' Vasilyev,59-21,133.1,88.4%,2.15,Denis 'electronic' Sharipov,38-24,95.6,83.7%,1.47,Ioann 'Edward' Sukhariev,31-21,85.9,81.4%,1.26,Aleksandr 's1mple' Kostyliev,27-22,61.6,79.1%,1.11,Danylo 'Zeus' Teslenko,22-19,60.8,79.1%,1.04,Kirill 'Boombl4' Mikhailov,25-35,65.4,62.8%,0.78,Aurimas 'Kvik' Kvakšys,24-33,60.9,51.2%,0.77,Nikita 'waterfaLLZ' Matveyev,23-36,66.3,58.1%,0.71,Savelii 'jmqa' Bragin,18-36,61.4,53.5%,0.63,Gregory 'balblna' Oleinick,17-37,57.6,48.8%,0.59
86,FaZe,mousesports,0,2,26th of January 2018,ELEAGUE Major 2018,"Best of 3

* Quarter-final",Nuke,FaZe,19,(6:9; 9:6) (4:1),mousesports,16,Cache,FaZe,16,(10:5; 6:4),mousesports,9,Train,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Nikola 'NiKo' Kovač,60-36,107.1,70.0%,1.52,Olof 'olofmeister' Kajbjer,46-35,79.8,75.0%,1.22,Ladislav 'GuardiaN' Kovács,40-31,63.2,75.0%,1.15,Håvard 'rain' Nygaard,43-42,79.6,71.7%,1.12,Finn 'karrigan' Andersen,28-40,54.0,68.3%,0.79,Miikka 'suNny' Kemppi,55-40,88.0,70.0%,1.27,Robin 'ropz' Kool,45-43,86.2,60.0%,1.09,Martin 'STYKO' Styk,34-47,62.8,61.7%,0.80,Tomáš 'oskar' Šťastný,26-43,53.4,66.7%,0.74,Chris 'chrisJ' de Jong,24-45,52.1,55.0%,0.66
87,mousesports,Space Soldiers,13,16,23rd of January 2018,ELEAGUE Major 2018,"Best of 1

* Swiss round 5 (teams with a 2-2 record). Winner advances to the playoffs, loser is eliminated",Mirage,mousesports,16,(7:8; 9:5),Space Soldiers,13,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Tomáš 'oskar' Šťastný,34-15,103.8,79.3%,1.72,Robin 'ropz' Kool,24-16,84.9,72.4%,1.32,Martin 'STYKO' Styk,15-16,74.6,86.2%,1.09,Miikka 'suNny' Kemppi,19-23,71.8,72.4%,0.94,Chris 'chrisJ' de Jong,14-20,53.0,65.5%,0.86,Engin 'MAJ3R' Küpeli,23-26,89.8,72.4%,1.11,Ismailcan 'XANTARES' Dörtkardeş,20-22,78.9,72.4%,1.05,Ahmet 'paz' Karahoca,19-21,75.0,65.5%,0.96,Buğra 'Calyx' Arkın,16-19,58.8,62.1%,0.84,Engin 'ngiN' Kor,12-18,45.1,69.0%,0.73
88,Vega Squadron,Cloud9,4,16,23rd of January 2018,ELEAGUE Major 2018,"Best of 1

* Swiss round 5 (teams with a 2-2 record). Winner advances to the playoffs, loser is eliminated",Mirage,Cloud9,4,(1:14; 3:2),Vega Squadron,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Pavel 'hutji' Lashkov,12-17,62.0,60.0%,0.78,Sergey 'keshandr' Nikishin,11-16,49.5,55.0%,0.71,Dmitriy 'jR' Chervak,11-18,65.9,45.0%,0.70,Nikolay 'mir' Bityukov,9-18,53.8,50.0%,0.51,Leonid 'chopper' Vishnyakov,4-17,53.4,50.0%,0.49,Jake 'Stewie2K' Yip,22-10,110.0,75.0%,1.75,William 'RUSH' Wierzba,19-8,87.2,80.0%,1.50,Timothy 'autimatic' Ta,16-10,89.3,90.0%,1.35,Tarik 'tarik' Celik,15-7,70.7,85.0%,1.34,Tyler 'Skadoodle' Latham,13-12,89.2,85.0%,1.29
89,fnatic,Gambit,2,16,23rd of January 2018,ELEAGUE Major 2018,"Best of 1

* Swiss round 5 (teams with a 2-2 record). Winner advances to the playoffs, loser is eliminated",Mirage,fnatic,16,(13:2; 3:0),Gambit,2,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Freddy 'KRIMZ' Johansson,27-6,152.3,88.9%,2.47,Robin 'flusha' Rönnquist,20-6,103.7,100.0%,2.08,Jonas 'Lekr0' Olofsson,21-11,108.8,88.9%,1.86,Maikil 'Golden' Selim,7-9,42.3,88.9%,0.91,Jesper 'JW' Wecksell,8-13,64.2,61.1%,0.88,Rustem 'mou' Telepov,11-15,73.4,55.6%,0.75,Mihail 'Dosia' Stolyarov,11-16,61.6,61.1%,0.67,Dauren 'AdreN' Kystaubayev,7-18,76.4,72.2%,0.59,Abay 'Hobbit' Khasenov,10-18,63.5,44.4%,0.47,Bektiyar 'fitch' Bahytov,5-16,38.5,33.3%,0.36
90,MIBR,Astralis,0,2,2nd of March 2019,IEM Katowice 2019,"Best of 3

* Semi-final",Overpass,Astralis,14,(9:6; 5:10),MIBR,16,Inferno,Astralis,7,(6:9; 1:7),MIBR,16,Train,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Fernando 'fer' Alvarenga,38-34,70.7,73.6%,1.11,João 'felps' Vasconcellos,38-36,77.8,66.0%,1.04,Marcelo 'coldzera' David,37-37,76.7,75.5%,1.03,Gabriel 'FalleN' Toledo,29-36,69.4,66.0%,0.89,Epitacio 'TACO' de Melo,23-41,55.8,52.8%,0.71,Emil 'Magisk' Reif,46-33,95.9,79.2%,1.43,Peter 'dupreeh' Rasmussen,42-33,89.6,71.7%,1.28,Andreas 'Xyp9x' Højsleth,34-30,69.8,75.5%,1.13,Nicolai 'device' Reedtz,31-32,62.9,73.6%,1.04,Lukas 'gla1ve' Rossander,31-37,60.5,66.0%,0.97
91,fnatic,Natus Vincere,7,16,22nd of January 2018,ELEAGUE Major 2018,"Best of 1

* Swiss round 4 (teams with a 2-1 record). Winner will advance to playoffs",Inferno,Natus Vincere,7,(3:12; 4:4),fnatic,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Freddy 'KRIMZ' Johansson,19-18,83.7,69.6%,1.04,Jonas 'Lekr0' Olofsson,15-20,72.2,60.9%,0.86,Jesper 'JW' Wecksell,12-19,67.3,60.9%,0.80,Robin 'flusha' Rönnquist,11-20,69.6,60.9%,0.74,Maikil 'Golden' Selim,6-21,45.4,52.2%,0.47,Ioann 'Edward' Sukhariev,25-13,105.7,87.0%,1.65,Egor 'flamie' Vasilyev,25-13,110.3,82.6%,1.61,Aleksandr 's1mple' Kostyliev,16-11,68.8,95.7%,1.27,Danylo 'Zeus' Teslenko,18-16,88.2,78.3%,1.12,Denis 'electronic' Sharipov,13-11,60.0,87.0%,1.12
92,Gambit,SK,10,16,22nd of January 2018,ELEAGUE Major 2018,"Best of 1

* Swiss round 4 (teams with a 2-1 record). Winner will advance to playoffs",Overpass,SK,10,(2:13; 8:3),Gambit,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Rustem 'mou' Telepov,20-18,77.2,65.4%,1.07,Abay 'Hobbit' Khasenov,18-17,73.0,69.2%,0.98,Dauren 'AdreN' Kystaubayev,13-19,64.0,69.2%,0.89,Mihail 'Dosia' Stolyarov,12-16,65.2,73.1%,0.85,Bektiyar 'fitch' Bahytov,8-19,39.8,53.8%,0.66,Marcelo 'coldzera' David,23-11,84.5,80.8%,1.47,João 'felps' Vasconcellos,23-14,90.7,80.8%,1.41,Gabriel 'FalleN' Toledo,17-12,82.5,76.9%,1.23,Fernando 'fer' Alvarenga,15-17,62.7,69.2%,0.90,Epitacio 'TACO' de Melo,11-17,51.7,61.5%,0.69
93,Liquid,Vega Squadron,12,16,22nd of January 2018,ELEAGUE Major 2018,"Best of 1

* Swiss round 4 (teams with a 1-2 record). Loser will be eliminated",Inferno,Vega Squadron,12,(4:11; 8:5),Liquid,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Russel 'Twistzz' Van Dulken,24-18,85.2,71.4%,1.25,Jonathan 'EliGE' Jablonowski,21-17,68.9,71.4%,1.04,Josh 'jdm64' Marzano,19-18,75.0,67.9%,1.03,Nick 'nitr0' Cannella,13-19,64.8,71.4%,0.83,Wilton 'zews' Prado,12-21,51.8,60.7%,0.69,Dmitriy 'jR' Chervak,24-17,81.4,75.0%,1.41,Sergey 'keshandr' Nikishin,22-16,78.9,78.6%,1.32,Leonid 'chopper' Vishnyakov,22-17,80.0,75.0%,1.30,Pavel 'hutji' Lashkov,13-21,69.2,75.0%,0.93,Nikolay 'mir' Bityukov,12-18,49.7,67.9%,0.80
94,Astralis,Cloud9,6,16,22nd of January 2018,ELEAGUE Major 2018,"Best of 1

* Swiss round 4 (teams with a 1-2 record). Loser will be eliminated",Train,Cloud9,6,(6:9; 0:7),Astralis,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Nicolai 'device' Reedtz,17-17,74.7,59.1%,0.99,Peter 'dupreeh' Rasmussen,14-18,66.0,59.1%,0.85,Andreas 'Xyp9x' Højsleth,13-16,64.5,63.6%,0.79,Markus 'Kjaerbye' Kjærbye,10-18,63.7,54.5%,0.68,Lukas 'gla1ve' Rossander,9-19,57.2,59.1%,0.62,William 'RUSH' Wierzba,23-13,104.6,72.7%,1.58,Tyler 'Skadoodle' Latham,19-9,91.1,86.4%,1.52,Timothy 'autimatic' Ta,18-13,80.0,72.7%,1.30,Jake 'Stewie2K' Yip,19-13,80.9,63.6%,1.26,Tarik 'tarik' Celik,9-15,58.7,68.2%,0.77
95,Quantum Bellator Fire,mousesports,14,16,22nd of January 2018,ELEAGUE Major 2018,"Best of 1

* Swiss round 4 (teams with a 2-1 record). Winner will advance to playoffs",Train,Quantum Bellator Fire,16,(2:13; 14:1),mousesports,14,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Aurimas 'Kvik' Kvakšys,28-19,101.1,70.0%,1.45,Kirill 'Boombl4' Mikhailov,24-20,87.9,73.3%,1.23,Nikita 'waterfaLLZ' Matveyev,17-17,52.8,70.0%,0.95,Savelii 'jmqa' Bragin,15-18,54.7,63.3%,0.85,Gregory 'balblna' Oleinick,13-18,51.9,60.0%,0.80,Chris 'chrisJ' de Jong,18-18,64.3,66.7%,1.09,Miikka 'suNny' Kemppi,19-19,72.5,73.3%,1.06,Robin 'ropz' Kool,21-19,65.1,56.7%,1.00,Martin 'STYKO' Styk,19-19,78.4,70.0%,0.97,Tomáš 'oskar' Šťastný,15-22,52.8,60.0%,0.81
96,Space Soldiers,BIG,8,16,22nd of January 2018,ELEAGUE Major 2018,"Best of 1

* Swiss round 4 (teams with a 1-2 record). Loser will be eliminated",Cobblestone,Space Soldiers,16,(14:1; 2:7),BIG,8,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Ahmet 'paz' Karahoca,26-12,89.5,79.2%,1.68,Buğra 'Calyx' Arkın,17-11,73.0,75.0%,1.26,Engin 'MAJ3R' Küpeli,16-16,78.1,70.8%,1.17,Ismailcan 'XANTARES' Dörtkardeş,14-16,63.5,70.8%,1.09,Engin 'ngiN' Kor,9-16,49.2,58.3%,0.79,Nikola 'LEGIJA' Ninić,21-16,86.8,79.2%,1.21,Johannes 'tabseN' Wodarz,15-16,78.0,50.0%,1.02,Kevin 'keev' Bartholomäus,14-16,68.7,62.5%,0.94,Fatih 'gob b' Dayik,12-15,58.3,58.3%,0.84,Johannes 'nex' Maget,9-19,57.9,62.5%,0.70
97,Space Soldiers,Gambit,13,16,22nd of January 2018,ELEAGUE Major 2018,"Best of 1

* Swiss round 3 (teams with a 1-1 record)",Train,Gambit,13,(2:13; 11:3),Space Soldiers,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Ahmet 'paz' Karahoca,21-17,89.8,69.0%,1.22,Ismailcan 'XANTARES' Dörtkardeş,20-19,83.9,86.2%,1.21,Buğra 'Calyx' Arkın,24-16,76.3,72.4%,1.21,Engin 'MAJ3R' Küpeli,18-21,63.7,62.1%,0.88,Engin 'ngiN' Kor,14-22,54.4,62.1%,0.70,Mihail 'Dosia' Stolyarov,24-17,88.8,75.9%,1.39,Dauren 'AdreN' Kystaubayev,21-22,72.4,62.1%,0.97,Bektiyar 'fitch' Bahytov,16-19,68.1,55.2%,0.91,Abay 'Hobbit' Khasenov,17-21,63.7,55.2%,0.89,Rustem 'mou' Telepov,17-18,57.0,55.2%,0.88
98,Virtus.pro,Cloud9,7,16,21st of January 2018,ELEAGUE Major 2018,"Best of 1

* Swiss round 3 (teams with a 0-2 record). Loser will be eliminated",Mirage,Cloud9,7,(5:10; 2:6),Virtus.pro,16,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,NotPlayed,Janusz 'Snax' Pogorzelski,14-17,68.7,56.5%,0.82,Filip 'NEO' Kubski,12-16,54.2,60.9%,0.77,Wiktor 'TaZ' Wojtas,10-17,52.3,56.5%,0.76,Jarosław 'pashaBiceps' Jarząbkowski,14-22,71.6,60.9%,0.75,Paweł 'byali' Bieliński,10-22,61.2,52.2%,0.60,Jake 'Stewie2K' Yip,26-14,106.7,82.6%,1.63,Timothy 'autimatic' Ta,23-13,99.7,78.3%,1.58,William 'RUSH' Wierzba,15-12,86.3,91.3%,1.39,Tyler 'Skadoodle' Latham,16-9,71.6,82.6%,1.23,Tarik 'tarik' Celik,14-12,67.3,69.6%,1.00
